,Seconds,Q_flow Refrigeration [kW]_model,T_sup RefrigerationT [°C]_model,T_ret RefrigerationT [°C]_model
1990,7164000,0.3386775503016149,67.9968304740494,27.10000845106634
1991,7167600,0.3732385986504185,68.18206973354403,27.15449738882812
1992,7171200,0.28831653763111,72.66970523617124,29.3020286872462
1993,7174800,0.22980608812737338,73.61552007048155,29.304925223728194
1994,7178400,0.2907625474167517,73.05830199802537,29.592791434910755
1995,7182000,0.3129407205802279,65.70058131028925,28.373645601045407
1996,7185600,0.31459849313676475,66.13687306636987,26.346820539254875
1997,7189200,0.31630875667599395,70.29717642364973,29.635124624669565
1998,7192800,0.4007016374729648,69.97215781561718,26.628513092412735
1999,7196400,0.5003177862430774,72.62144514657919,30.46219589901496
2000,7200000,0.5271597068731289,70.14743888844798,29.548453165199792
2001,7203600,0.4779341785368879,70.6824451580281,28.501097908374074
2002,7207200,0.568885692637585,73.92219978338322,29.28983116275825
2003,7210800,0.6317648961156094,70.1501221779919,28.322639095619902
2004,7214400,0.6819098376057393,67.53705552945539,29.567086078938917
2005,7218000,0.6152716473001115,72.01745969632147,28.715136736602833
2006,7221600,0.5731710839632219,67.99490018944748,29.293120864880777
2007,7225200,0.5943705565603237,69.52645901385547,26.05576935835267
2008,7228800,0.6001997990752335,70.04399456851807,28.56784230307273
2009,7232400,0.5403855308740346,70.91550363643387,30.248222283280356
2010,7236000,0.6391255832466165,71.81925119154776,30.42154531991998
2011,7239600,0.6873302906905556,70.15778717232983,30.4579361808152
2012,7243200,0.5526414056599014,67.12994725843781,28.947897129177264
2013,7246800,0.3782077542831688,69.32177478193447,27.989152840813162
2014,7250400,0.2876634918112142,67.79527452112447,27.772807159799758
2015,7254000,0.34310243492561104,71.9648425347052,29.03714624665237
2016,7257600,0.3927898033354627,70.77029895260648,27.676473053469117
2017,7261200,0.33452953181477674,74.74560184471214,30.267173701815253
2018,7264800,0.23587565648582262,70.49255913993804,29.775593906154302
2019,7268400,0.318097439723977,70.33344267998054,25.68793680957832
2020,7272000,0.32805857122355914,68.76748280048629,26.51213985495512
2021,7275600,0.34685570666734894,69.55200396528498,26.843175059360263
2022,7279200,0.41635671467453217,71.88646533617226,29.848605121861503
2023,7282800,0.43730002188654943,73.87716278106868,28.12756515983497
2024,7286400,0.526598098979783,73.65284539437579,28.956090763481082
2025,7290000,0.5337574492703929,74.57879733257195,29.198857745738522
2026,7293600,0.5527107586908527,70.10908340596445,28.08618419230535
2027,7297200,0.5473677560964958,72.34623164884373,29.560573623478618
2028,7300800,0.5733824720476747,72.29727988303453,28.06001903010064
2029,7304400,0.6103476581626895,72.24816128072227,28.586777411958032
2030,7308000,0.5648386686814956,68.12984824844985,30.002488956980773
2031,7311600,0.5235746805470974,72.69322629665609,28.583027604824593
2032,7315200,0.48625455704212284,68.36712160004738,28.195913913822523
2033,7318800,0.49764311027556635,73.82453334172763,34.11856616146672
2034,7322400,0.5822646691353477,71.21773677815548,32.016718977646605
2035,7326000,0.6727268792813886,70.51954731498236,30.888221201520643
2036,7329600,0.48968082008427627,69.28377889409435,27.783781207655483
