,Seconds,Q_flow Laundry [kW]_model,T_sup-Laundry[°C]_model,T_ret-Laundry[°C]_model
401,1443600,0.04367114671466836,28.4,10
402,1447200,0.0,28.4,10
403,1450800,0.004513883189102407,28.4,10
404,1454400,0.02490909460079512,28.4,10
405,1458000,0.022434305961909075,28.4,10
406,1461600,0.016621533446431917,28.4,10
407,1465200,0.007388564543185022,28.4,10
408,1468800,0.030383410586308543,28.4,10
409,1472400,0.002154379190881262,28.4,10
410,1476000,0.0,28.4,10
411,1479600,0.0,28.4,10
412,1483200,0.0,28.4,10
413,1486800,0.007396675453138541,28.4,10
414,1490400,0.10646691741678817,28.4,10
415,1494000,0.2510755170623082,28.4,10
416,1497600,0.3919145548234039,28.4,10
417,1501200,0.38904856774028057,28.4,10
418,1504800,0.4000866943253103,28.4,10
419,1508400,0.4148397790094338,28.4,10
420,1512000,0.3934674133059716,28.4,10
421,1515600,0.4074622830007364,28.4,10
422,1519200,0.3872893986941221,28.4,10
423,1522800,0.3879864107605643,28.4,10
424,1526400,0.40455828230398055,28.4,10
425,1530000,0.4127820807568597,28.4,10
426,1533600,0.39558348684296485,28.4,10
427,1537200,0.40948560593157707,28.4,10
428,1540800,0.3346788704876341,28.4,10
429,1544400,0.2585955882304263,28.4,10
430,1548000,0.16344863081916838,28.4,10
431,1551600,0.0,28.4,10
432,1555200,0.010423148220677355,28.4,10
433,1558800,0.0,28.4,10
434,1562400,0.006231574892841551,28.4,10
435,1566000,0.008984576052861102,28.4,10
436,1569600,0.0,28.4,10
437,1573200,0.01422788704418157,28.4,10
438,1576800,0.1256966963821322,28.4,10
439,1580400,0.3191607405439492,28.4,10
440,1584000,0.44264784724085304,28.4,10
441,1587600,0.4954530236917365,28.4,10
442,1591200,0.45158524643458436,28.4,10
443,1594800,0.42605580433363316,28.4,10
444,1598400,0.4925327467411353,28.4,10
445,1602000,0.47735917399473504,28.4,10
446,1605600,0.48530274393664086,28.4,10
447,1609200,0.4792628581964152,28.4,10
448,1612800,0.47793645371675914,28.4,10
449,1616400,0.4644117390245037,28.4,10
450,1620000,0.48215148535066055,28.4,10
451,1623600,0.49869426105868375,28.4,10
452,1627200,0.453841454780544,28.4,10
453,1630800,0.3426677263147344,28.4,10
454,1634400,0.16324826585651175,28.4,10
455,1638000,0.0,28.4,10
456,1641600,0.02111513381023259,28.4,10
457,1645200,0.0,28.4,10
458,1648800,0.0,28.4,10
459,1652400,0.018372099923236098,28.4,10
460,1656000,0.0,28.4,10
461,1659600,0.011917620999216245,28.4,10
462,1663200,0.03444816878458241,28.4,10
463,1666800,0.014453705313995667,28.4,10
464,1670400,0.020814966338221382,28.4,10
465,1674000,0.0,28.4,10
466,1677600,0.050014119313232325,28.4,10
467,1681200,0.01625535464231626,28.4,10
468,1684800,0.017723778528838323,28.4,10
469,1688400,0.041217468443427566,28.4,10
470,1692000,0.0023921342318007632,28.4,10
471,1695600,0.017489581440492046,28.4,10
472,1699200,0.0,28.4,10
473,1702800,0.0,28.4,10
474,1706400,0.004320150699589001,28.4,10
475,1710000,0.00345819277355622,28.4,10
476,1713600,0.0,28.4,10
477,1717200,0.021715260974629332,28.4,10
478,1720800,0.023796052243702397,28.4,10
479,1724400,0.007803440812251267,28.4,10
480,1728000,0.002067740573405342,28.4,10
481,1731600,0.0,28.4,10
482,1735200,0.011605398898914605,28.4,10
483,1738800,0.0,28.4,10
484,1742400,0.0,28.4,10
485,1746000,0.0046620779376378065,28.4,10
486,1749600,0.10492298379537272,28.4,10
487,1753200,0.265567093857811,28.4,10
488,1756800,0.3475726485714476,28.4,10
489,1760400,0.3604058192678003,28.4,10
490,1764000,0.3643108387793702,28.4,10
491,1767600,0.37603043918641954,28.4,10
492,1771200,0.3872600170064424,28.4,10
493,1774800,0.39905511034484126,28.4,10
